City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,belmonte,-15.8631,-38.8828,22.65,80,60,1.93,BR,1697598175
194,busayra,30.7376,35.6078,14.01,69,1,0.54,JO,1697598175
195,escarcega,18.6089,-90.7454,20.97,80,35,0.75,MX,1697598176
196,sao gabriel da cachoeira,-0.1303,-67.0892,23.56,91,56,0.99,BR,1697598176
197,puerto deseado,-47.7503,-65.8938,11.2,52,100,10.16,AR,1697598095
198,suomussalmi,64.8869,28.9078,-2.55,88,22,3.48,FI,1697598177
199,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,88,100,5.0,RU,1697598177
200,acapulco de juarez,16.8634,-99.8901,26.8,86,100,2.73,MX,1697597980
201,mount pearl,47.5166,-52.7813,4.07,92,75,2.57,CA,1697598177
202,antsiranana,-12.2787,49.2917,23.9,76,2,4.7,MG,1697597943
203,powell river,49.8496,-124.5361,12.88,93,100,4.63,CA,1697598178
204,fort mcmurray,56.7268,-111.381,4.77,93,75,3.09,CA,1697598006
205,bamboo flat,11.7,92.7167,28.05,83,40,1.03,IN,1697598178
206,tauranga,-37.6861,176.1667,19.97,81,60,1.34,NZ,1697598178
207,dul'durga,50.6761,113.5931,4.51,60,89,7.18,RU,1697598179
208,ancud,-41.8697,-73.8203,10.57,81,15,1.42,CL,1697598014
209,palmer,42.1584,-72.3287,11.75,83,75,0.0,US,1697597880
210,nema,57.5067,50.5011,2.62,87,100,7.53,RU,1697598180
211,buka,40.8108,69.1986,15.95,29,100,1.03,UZ,1697598180
212,caransebes,45.4167,22.2167,9.76,62,84,1.9,RO,1697598180
213,warrnambool,-38.3833,142.4833,19.44,49,6,1.19,AU,1697598180
214,howard springs,-12.497,131.047,34.95,21,6,2.37,AU,1697598181
215,ust-nera,64.5667,143.2,-15.44,85,98,1.34,RU,1697598181
216,muisne,0.6,-80.0333,25.41,84,89,1.86,EC,1697598182
217,purificacion,3.8587,-74.9313,24.35,81,86,1.33,CO,1697598182
218,asubulaq,49.5583,83.0558,7.98,42,0,1.7,KZ,1697598183
219,lijiang,26.8688,100.2207,16.46,51,2,1.63,CN,1697598183
220,talnakh,69.4865,88.3972,-0.44,96,100,7.45,RU,1697598183
221,illizi,26.4833,8.4667,28.89,19,86,2.96,DZ,1697598076
222,cobija,-11.0267,-68.7692,25.66,65,6,0.91,BO,1697598184
223,punta arenas,-53.15,-70.9167,8.95,71,75,7.72,CL,1697597902
224,an nuhud,12.7,28.4333,25.19,20,87,5.88,SD,1697598185
225,lysianka,49.2523,30.8295,3.11,72,26,2.88,UA,1697598185
226,sao joao da barra,-21.6403,-41.0511,24.12,91,100,1.86,BR,1697598040
227,hadibu,12.65,54.0333,27.1,75,27,2.04,YE,1697598186
228,acajutla,13.5928,-89.8275,26.79,65,97,3.2,SV,1697598186
229,raja,8.4596,25.678,21.31,87,100,1.1,SS,1697598186
230,bembereke,10.2283,2.6634,22.37,85,91,1.78,BJ,1697598187
231,okhotsk,59.3833,143.3,-4.37,62,35,1.82,RU,1697598187
